policy_id,hotel_id,child_policy,pet_policy,extra_bed_policy,extra_bed_charge,extra_bed_currency,payment_methods,airport_pickup,early_checkin_possible,accessibility_notes,updated_at
hpo_a6c7ee87,htl_fe66f74b,"Children of all ages welcome. One child under 5 free per room, cot on request.","Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,1611.00,INR,"card,netbanking,upi",0,0,,2026-08-18T10:00:00+05:30
hpo_9e5c5d5a,htl_d149da7c,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",1272.00,INR,"upi,card,wallet",0,1,,2026-08-18T10:00:00+05:30
hpo_26431c6f,htl_8ceae759,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,1993.00,INR,"netbanking,upi,wallet",1,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_fc75af9e,htl_97daa761,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.",No extra beds available.,,,"card,netbanking,wallet",0,0,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_9f14cdf1,htl_ca3e3a74,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,,,"upi,wallet,netbanking",0,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_486f4a60,htl_b4eb0f44,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Pets are not permitted.,"One extra bed per room, chargeable.",2416.00,INR,"card,upi,wallet",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_da1842b0,htl_832544af,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,2293.00,INR,"netbanking,upi,card,wallet",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_28e9f515,htl_68af15a1,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",1623.00,INR,"upi,card",0,1,,2026-08-18T10:00:00+05:30
hpo_c93c72f8,htl_f89975f1,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.",No extra beds available.,1432.00,INR,"wallet,netbanking",0,0,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_c2baa88b,htl_3f98054b,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.",No extra beds available.,2466.00,INR,"card,wallet,netbanking,upi",0,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_49473854,htl_437c0b59,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",563.00,INR,"wallet,card,upi,netbanking",0,0,,2026-08-18T10:00:00+05:30
hpo_d63ac277,htl_abcdbceb,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,"One extra bed per room, chargeable.",2447.00,INR,"upi,netbanking,wallet,card",0,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_efff6568,htl_d1c721fa,"Children of all ages welcome. One child under 5 free per room, cot on request.","Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",,,"wallet,card,netbanking",0,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_97ddef8a,htl_af9267ba,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,Extra beds available in suites only.,,,"wallet,upi",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_4f74cc22,htl_9c129ce4,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,"One extra bed per room, chargeable.",,,"netbanking,card",0,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_0fa23d09,htl_d1d22033,"Children of all ages welcome. One child under 5 free per room, cot on request.","Pet friendly throughout, including the restaurant terrace.",No extra beds available.,1587.00,INR,"card,upi,netbanking",0,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_42dc6cdf,htl_1b0f8353,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,No extra beds available.,1225.00,INR,"netbanking,upi",1,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_8cb209b2,htl_d190083e,"Children of all ages welcome. One child under 5 free per room, cot on request.",Pets are not permitted.,"One extra bed per room, chargeable.",449.00,INR,"wallet,upi",0,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_c87467be,htl_3c8db5e1,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,773.00,INR,"wallet,netbanking,upi",0,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_a8289b4a,htl_95e7afb1,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Pets are not permitted.,Extra beds available in suites only.,,,"upi,netbanking,wallet,card",0,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_0640c1fd,htl_f32a6fab,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,No extra beds available.,431.00,INR,"upi,wallet,card,netbanking",1,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_4f77b7e0,htl_edfb03a8,"Children of all ages welcome. One child under 5 free per room, cot on request.",Pets are not permitted.,No extra beds available.,,,"wallet,upi,card",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_e2510779,htl_a4d27c8c,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Pets are not permitted.,"One extra bed per room, chargeable.",1889.00,INR,"card,netbanking,wallet",1,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_cde74bad,htl_68ea7979,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",1585.00,INR,"upi,netbanking",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_427d69c7,htl_43f3566e,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.",No extra beds available.,2221.00,INR,"card,netbanking,upi",0,1,,2026-08-18T10:00:00+05:30
hpo_8b293a84,htl_ace63054,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,1498.00,INR,"card,wallet,upi",1,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_7bb1709b,htl_40a881e8,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,692.00,INR,"card,wallet",0,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_95792ede,htl_df6e2340,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,,,"card,wallet",0,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_595a94ae,htl_3e3a38c5,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,"One extra bed per room, chargeable.",2214.00,INR,"card,wallet,netbanking,upi",1,0,,2026-08-18T10:00:00+05:30
hpo_5e3c0649,htl_d07e29f4,"Children of all ages welcome. One child under 5 free per room, cot on request.",Pets are not permitted.,Extra beds available in suites only.,1842.00,INR,"card,netbanking",0,0,,2026-08-18T10:00:00+05:30
hpo_193b3bdd,htl_fb894fd0,"Children of all ages welcome. One child under 5 free per room, cot on request.",Pets are not permitted.,"One extra bed per room, chargeable.",545.00,INR,"upi,wallet,netbanking",0,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_e3d4fb2e,htl_7b47fb46,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,"One extra bed per room, chargeable.",,,"wallet,netbanking,card,upi",0,0,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_e64a0061,htl_34abcc09,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,Extra beds available in suites only.,,,"upi,card,netbanking",0,0,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_7231891f,htl_2ca76c96,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.",No extra beds available.,2185.00,INR,"upi,card,wallet,netbanking",1,0,,2026-08-18T10:00:00+05:30
hpo_3703e604,htl_d9b34d26,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,1349.00,INR,"netbanking,card,wallet,upi",0,1,,2026-08-18T10:00:00+05:30
hpo_dc70937b,htl_b868ebcf,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,No extra beds available.,,,"card,netbanking",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_5b52a2f8,htl_4e4752d8,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,1358.00,INR,"netbanking,upi",0,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_589053da,htl_9e900d70,"Children of all ages welcome. One child under 5 free per room, cot on request.",Pets are not permitted.,"One extra bed per room, chargeable.",,,"wallet,card,upi,netbanking",1,0,,2026-08-18T10:00:00+05:30
hpo_ab7a4c38,htl_64b0b167,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,"One extra bed per room, chargeable.",,,"card,wallet,netbanking",0,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_fd44cc51,htl_7a46102c,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.",No extra beds available.,2597.00,INR,"netbanking,card",1,1,,2026-08-18T10:00:00+05:30
hpo_f407ccaf,htl_c758f72a,"Children of all ages welcome. One child under 5 free per room, cot on request.","Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,,,"netbanking,card,upi,wallet",0,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_ea53cd49,htl_623c41c5,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",705.00,INR,"upi,netbanking,card",1,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_2bffaadb,htl_97c0591b,"Children of all ages welcome. One child under 5 free per room, cot on request.",Pets are not permitted.,Extra beds available in suites only.,1303.00,INR,"netbanking,card,upi",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_7c82a007,htl_2b79009c,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.",No extra beds available.,1933.00,INR,"card,wallet,netbanking,upi",1,1,,2026-08-18T10:00:00+05:30
hpo_f56f5711,htl_a7f2c402,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,714.00,INR,"netbanking,wallet,card,upi",0,0,,2026-08-18T10:00:00+05:30
hpo_a1be4145,htl_64e6662b,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,"One extra bed per room, chargeable.",1661.00,INR,"wallet,netbanking,card,upi",1,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_7e54a74b,htl_0e2c0e6e,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",,,"wallet,upi",0,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_1431e906,htl_34a81c98,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,Extra beds available in suites only.,,,"upi,netbanking",0,1,,2026-08-18T10:00:00+05:30
hpo_e4496a4e,htl_fc4f2312,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,,,"wallet,upi,netbanking,card",0,0,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_164a1cc3,htl_2c61b5c9,"Children of all ages welcome. One child under 5 free per room, cot on request.",Pets are not permitted.,Extra beds available in suites only.,1366.00,INR,"netbanking,card",0,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_f4ffc6f1,htl_7920dc76,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,2576.00,INR,"upi,wallet",1,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_c5488e9c,htl_07bfe1c5,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,"One extra bed per room, chargeable.",,,"card,netbanking,upi",0,0,,2026-08-18T10:00:00+05:30
hpo_20ce3a61,htl_8727e865,"Children of all ages welcome. One child under 5 free per room, cot on request.",Pets are not permitted.,Extra beds available in suites only.,,,"card,netbanking",1,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_a5c79bff,htl_edab68d0,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,,,"upi,netbanking,wallet,card",1,0,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_1dab12a9,htl_76c57a96,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,1687.00,INR,"card,upi",0,0,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_8e461c58,htl_f6df417b,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,2131.00,INR,"card,upi,wallet",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_25e9eeb5,htl_73b94512,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,480.00,INR,"netbanking,upi,card",0,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_ef502902,htl_d526541d,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Pets are not permitted.,"One extra bed per room, chargeable.",1127.00,INR,"netbanking,card,wallet,upi",0,1,,2026-08-18T10:00:00+05:30
hpo_1461fca7,htl_c6ab89b1,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,1244.00,INR,"wallet,netbanking",0,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_fc822b3b,htl_cb869e4b,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",2350.00,INR,"upi,netbanking",1,0,,2026-08-18T10:00:00+05:30
hpo_0ad0c0bf,htl_53f95667,"Children of all ages welcome. One child under 5 free per room, cot on request.","Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",858.00,INR,"card,wallet",0,1,,2026-08-18T10:00:00+05:30
hpo_ffef1d09,htl_4449653d,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",2298.00,INR,"netbanking,upi,wallet",1,0,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_d2ad4b4d,htl_6439d03a,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,"One extra bed per room, chargeable.",1729.00,INR,"card,upi",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_920191a4,htl_e28207c9,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",2128.00,INR,"netbanking,upi,wallet,card",1,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_b5c55c69,htl_6fdb8c08,"Children of all ages welcome. One child under 5 free per room, cot on request.","Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,664.00,INR,"netbanking,upi,card,wallet",1,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_de0f1529,htl_f819e1d6,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,1266.00,INR,"netbanking,card,wallet",1,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_d030da90,htl_7e8acd66,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,930.00,INR,"netbanking,card,wallet,upi",1,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_1fab8e40,htl_52debcee,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,1211.00,INR,"upi,netbanking,card",0,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_68e8f7cd,htl_b76950b4,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,1583.00,INR,"upi,netbanking,wallet,card",0,0,,2026-08-18T10:00:00+05:30
hpo_9551df9b,htl_bf05fe97,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",1125.00,INR,"card,wallet",0,1,,2026-08-18T10:00:00+05:30
hpo_74e6d3c2,htl_4a6af4a8,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Pets are not permitted.,Extra beds available in suites only.,880.00,INR,"netbanking,card,upi,wallet",1,0,,2026-08-18T10:00:00+05:30
hpo_a7374e72,htl_692b71cc,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,No extra beds available.,,,"card,wallet,upi",0,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_c17ae363,htl_6961a498,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",1929.00,INR,"netbanking,wallet,upi",1,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_51d0eab0,htl_1dc2d45a,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,,,"card,netbanking,wallet",0,0,,2026-08-18T10:00:00+05:30
hpo_31005990,htl_d1ff6baa,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,,,"upi,wallet,card",1,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_bbf1878a,htl_28873757,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Pets are not permitted.,"One extra bed per room, chargeable.",1295.00,INR,"upi,netbanking,wallet",0,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_72a8faf3,htl_be32214e,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,1478.00,INR,"card,wallet,upi,netbanking",1,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_d1decd1c,htl_9553dd98,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,No extra beds available.,,,"upi,netbanking,wallet,card",1,1,,2026-08-18T10:00:00+05:30
hpo_acfa1fcd,htl_7d0e7ea3,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.",No extra beds available.,,,"wallet,netbanking",0,1,,2026-08-18T10:00:00+05:30
hpo_059e6671,htl_7cacf12d,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",1921.00,INR,"wallet,card,upi",1,0,,2026-08-18T10:00:00+05:30
hpo_0bddfdc1,htl_107cf306,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,691.00,INR,"wallet,upi,netbanking,card",1,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_1411389b,htl_9fca9e1c,"Children of all ages welcome. One child under 5 free per room, cot on request.","Pet friendly throughout, including the restaurant terrace.",No extra beds available.,595.00,INR,"netbanking,upi,card",0,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_f92cde66,htl_55eda192,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,707.00,INR,"card,netbanking",0,1,,2026-08-18T10:00:00+05:30
hpo_f8044f34,htl_85d1f924,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,"One extra bed per room, chargeable.",2378.00,INR,"card,upi,netbanking",0,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_5c8049c9,htl_fa769a3e,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,No extra beds available.,549.00,INR,"card,upi",1,0,,2026-08-18T10:00:00+05:30
hpo_063c9967,htl_4906f5ef,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,,,"upi,wallet",1,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
