payment_id,booking_id,method,status,authorised_amount,captured_amount,refunded_amount,currency,gateway_reference,idempotency_key,failure_code,authorised_at,captured_at,created_at,updated_at
pay_e887dc82,bkg_aabdfc13,netbanking,captured,47467.53,47467.53,0.00,AED,mock_aabdfc13,pidem_4914eb2f953051c0,,2026-04-29T17:45:40+05:30,2026-04-29T17:47:00+05:30,2026-04-29T17:45:00+05:30,2026-08-18T10:00:00+05:30
pay_7e2ebbd5,bkg_1db61efe,upi,captured,21552.43,21552.43,0.00,INR,mock_1db61efe,pidem_5167e518492c7d2d,,2026-04-26T01:45:40+05:30,2026-04-26T01:47:00+05:30,2026-04-26T01:45:00+05:30,2026-08-18T10:00:00+05:30
pay_c687da48,bkg_69566a24,upi,captured,10501.94,10501.94,0.00,INR,mock_69566a24,pidem_8bad4d92b519c3bb,,2026-08-14T11:00:40+05:30,2026-08-14T11:02:00+05:30,2026-08-14T11:00:00+05:30,2026-08-18T10:00:00+05:30
pay_7c788de4,bkg_7383cc12,card,initiated,35211.03,0.00,0.00,INR,mock_7383cc12,pidem_a6d16126bc752614,,,,2026-07-30T17:45:00+05:30,2026-08-18T10:00:00+05:30
pay_1c1e088e,bkg_e0caef56,card,refunded,22709.41,22709.41,22709.41,INR,mock_e0caef56,pidem_ec74a33a656dc784,,2026-05-29T23:00:40+05:30,2026-05-29T23:02:00+05:30,2026-05-29T23:00:00+05:30,2026-08-18T10:00:00+05:30
pay_96168897,bkg_dc805bb2,card,refunded,38534.20,38534.20,38534.20,INR,mock_dc805bb2,pidem_2678283fa27e38a5,,2026-07-13T03:30:40+05:30,2026-07-13T03:32:00+05:30,2026-07-13T03:30:00+05:30,2026-08-18T10:00:00+05:30
pay_00383254,bkg_c6ccdb15,upi,captured,11754.04,11754.04,0.00,INR,mock_c6ccdb15,pidem_73657b07c3cb32aa,,2026-06-07T06:00:40+05:30,2026-06-07T06:02:00+05:30,2026-06-07T06:00:00+05:30,2026-08-18T10:00:00+05:30
pay_36159e15,bkg_55382b3e,upi,captured,51279.88,51279.88,0.00,INR,mock_55382b3e,pidem_cb551f6ff443d28b,,2026-08-08T13:15:40+05:30,2026-08-08T13:17:00+05:30,2026-08-08T13:15:00+05:30,2026-08-18T10:00:00+05:30
pay_650402ea,bkg_a18c8fb4,upi,captured,17204.51,17204.51,0.00,INR,mock_a18c8fb4,pidem_048a078c35ac54db,,2026-05-26T22:30:40+05:30,2026-05-26T22:32:00+05:30,2026-05-26T22:30:00+05:30,2026-08-18T10:00:00+05:30
pay_eccfda9e,bkg_5ff05c45,netbanking,captured,43025.07,43025.07,0.00,INR,mock_5ff05c45,pidem_c28982156c358405,,2026-05-04T07:30:40+05:30,2026-05-04T07:32:00+05:30,2026-05-04T07:30:00+05:30,2026-08-18T10:00:00+05:30
pay_d918159d,bkg_8cdd25c2,upi,captured,4118.39,4118.39,0.00,INR,mock_8cdd25c2,pidem_ea50ce7397923592,,2026-07-17T00:30:40+05:30,2026-07-17T00:32:00+05:30,2026-07-17T00:30:00+05:30,2026-08-18T10:00:00+05:30
pay_518677c0,bkg_eca7b339,upi,captured,6875.87,6875.87,0.00,LKR,mock_eca7b339,pidem_f1c99bae73f9d995,,2026-04-29T20:45:40+05:30,2026-04-29T20:47:00+05:30,2026-04-29T20:45:00+05:30,2026-08-18T10:00:00+05:30
pay_e44f6600,bkg_1054fe18,upi,captured,23392.05,23392.05,0.00,INR,mock_1054fe18,pidem_35d520bc4b012588,,2026-07-23T09:00:40+05:30,2026-07-23T09:02:00+05:30,2026-07-23T09:00:00+05:30,2026-08-18T10:00:00+05:30
pay_d2a7d4bf,bkg_5c5d46a1,upi,captured,12083.37,12083.37,0.00,INR,mock_5c5d46a1,pidem_64a75277fa6222cb,,2026-05-07T09:30:40+05:30,2026-05-07T09:32:00+05:30,2026-05-07T09:30:00+05:30,2026-08-18T10:00:00+05:30
pay_7b3b4b12,bkg_36d7e53b,upi,captured,7872.75,7872.75,0.00,THB,mock_36d7e53b,pidem_89abca82c829dbfb,,2026-06-21T06:30:40+05:30,2026-06-21T06:32:00+05:30,2026-06-21T06:30:00+05:30,2026-08-18T10:00:00+05:30
pay_cea5507e,bkg_cfe06f0c,netbanking,captured,19726.63,19726.63,0.00,INR,mock_cfe06f0c,pidem_ff1bbbc0144fb1cb,,2026-07-18T03:15:40+05:30,2026-07-18T03:17:00+05:30,2026-07-18T03:15:00+05:30,2026-08-18T10:00:00+05:30
pay_dbe848ad,bkg_b1a64665,upi,captured,5258.49,5258.49,0.00,INR,mock_b1a64665,pidem_ad0389e5b0ef008b,,2026-07-29T06:30:40+05:30,2026-07-29T06:32:00+05:30,2026-07-29T06:30:00+05:30,2026-08-18T10:00:00+05:30
pay_a6b2fbb9,bkg_79906986,upi,refunded,13500.73,13500.73,13500.73,LKR,mock_79906986,pidem_e62049d7e1e248d9,,2026-07-28T21:45:40+05:30,2026-07-28T21:47:00+05:30,2026-07-28T21:45:00+05:30,2026-08-18T10:00:00+05:30
pay_6f97ad96,bkg_ef9ddd65,upi,captured,8683.49,8683.49,0.00,NPR,mock_ef9ddd65,pidem_c40e11aa7cb87813,,2026-06-05T06:00:40+05:30,2026-06-05T06:02:00+05:30,2026-06-05T06:00:00+05:30,2026-08-18T10:00:00+05:30
pay_9682dfe7,bkg_33a70806,wallet,captured,38142.19,38142.19,0.00,INR,mock_33a70806,pidem_0b091bc3a2e65783,,2026-08-04T06:30:40+05:30,2026-08-04T06:32:00+05:30,2026-08-04T06:30:00+05:30,2026-08-18T10:00:00+05:30
pay_14f1bf47,bkg_033bcbd8,upi,refunded,6695.24,6695.24,6695.24,INR,mock_033bcbd8,pidem_8d937dabd69a51cd,,2026-08-05T01:45:40+05:30,2026-08-05T01:47:00+05:30,2026-08-05T01:45:00+05:30,2026-08-18T10:00:00+05:30
pay_cab4d5cb,bkg_69352816,card,captured,71541.90,71541.90,0.00,INR,mock_69352816,pidem_261c07efd6f92a1f,,2026-07-27T15:15:40+05:30,2026-07-27T15:17:00+05:30,2026-07-27T15:15:00+05:30,2026-08-18T10:00:00+05:30
pay_6a3737d5,bkg_74e7879c,card,refunded,101492.41,101492.41,101492.41,INR,mock_74e7879c,pidem_166f39541c65bc3c,,2026-04-21T07:30:40+05:30,2026-04-21T07:32:00+05:30,2026-04-21T07:30:00+05:30,2026-08-18T10:00:00+05:30
pay_c8eba791,bkg_9f599abe,upi,captured,39793.96,39793.96,0.00,INR,mock_9f599abe,pidem_bf3c6a95511b5652,,2026-08-04T17:45:40+05:30,2026-08-04T17:47:00+05:30,2026-08-04T17:45:00+05:30,2026-08-18T10:00:00+05:30
pay_5e285dad,bkg_32a4fde3,card,captured,20459.22,20459.22,0.00,INR,mock_32a4fde3,pidem_85d8c74774a836b9,,2026-05-01T23:30:40+05:30,2026-05-01T23:32:00+05:30,2026-05-01T23:30:00+05:30,2026-08-18T10:00:00+05:30
pay_d2749bab,bkg_f54f09b4,upi,captured,3097.40,3097.40,0.00,INR,mock_f54f09b4,pidem_563a946d0ab21c6b,,2026-06-14T20:15:40+05:30,2026-06-14T20:17:00+05:30,2026-06-14T20:15:00+05:30,2026-08-18T10:00:00+05:30
pay_afb52aa0,bkg_d95cafa1,upi,failed,5285.47,0.00,0.00,INR,mock_d95cafa1,pidem_220778966a1f58ea,idempotency_conflict,2026-05-09T18:30:40+05:30,,2026-05-09T18:30:00+05:30,2026-08-18T10:00:00+05:30
pay_78721b9b,bkg_a78e7575,upi,captured,34220.97,34220.97,0.00,INR,mock_a78e7575,pidem_bb424ec855026cea,,2026-05-06T08:15:40+05:30,2026-05-06T08:17:00+05:30,2026-05-06T08:15:00+05:30,2026-08-18T10:00:00+05:30
pay_cf1c3e2c,bkg_9a4e2f03,netbanking,captured,7192.45,7192.45,0.00,NPR,mock_9a4e2f03,pidem_d8411be9b19b88a1,,2026-06-13T01:00:40+05:30,2026-06-13T01:02:00+05:30,2026-06-13T01:00:00+05:30,2026-08-18T10:00:00+05:30
pay_8d56ae5a,bkg_e7f411ce,card,captured,40194.74,40194.74,0.00,INR,mock_e7f411ce,pidem_05dd911f41d28fe7,,2026-05-31T21:15:40+05:30,2026-05-31T21:17:00+05:30,2026-05-31T21:15:00+05:30,2026-08-18T10:00:00+05:30
pay_ce8d6f8f,bkg_38f6ddb0,upi,captured,4282.70,4282.70,0.00,INR,mock_38f6ddb0,pidem_642cb22b1423cf4c,,2026-05-29T04:30:40+05:30,2026-05-29T04:32:00+05:30,2026-05-29T04:30:00+05:30,2026-08-18T10:00:00+05:30
pay_267ef2bf,bkg_72f39a04,card,captured,54147.74,54147.74,0.00,INR,mock_72f39a04,pidem_147137930c4cb566,,2026-06-09T11:15:40+05:30,2026-06-09T11:17:00+05:30,2026-06-09T11:15:00+05:30,2026-08-18T10:00:00+05:30
pay_95842584,bkg_74b0ac92,card,captured,5118.20,5118.20,0.00,AED,mock_74b0ac92,pidem_ab4b0ba067accc97,,2026-06-12T13:30:40+05:30,2026-06-12T13:32:00+05:30,2026-06-12T13:30:00+05:30,2026-08-18T10:00:00+05:30
pay_460cd25f,bkg_d375060a,mock,failed,12274.04,0.00,0.00,INR,mock_d375060a,pidem_b63f86bd7a90a2b0,idempotency_conflict,2026-07-07T03:45:40+05:30,,2026-07-07T03:45:00+05:30,2026-08-18T10:00:00+05:30
pay_2dc2b1e8,bkg_d5364266,mock,captured,50429.19,50429.19,0.00,INR,mock_d5364266,pidem_3d9439e3625e855b,,2026-05-12T11:00:40+05:30,2026-05-12T11:02:00+05:30,2026-05-12T11:00:00+05:30,2026-08-18T10:00:00+05:30
pay_bfcfe130,bkg_5e2c122d,card,initiated,1768.51,0.00,0.00,INR,mock_5e2c122d,pidem_15201ecac0a0faf7,,,,2026-06-14T02:15:00+05:30,2026-08-18T10:00:00+05:30
pay_accea514,bkg_6768c9be,upi,captured,16419.17,16419.17,0.00,INR,mock_6768c9be,pidem_dee15dc8f984aa74,,2026-08-10T11:15:40+05:30,2026-08-10T11:17:00+05:30,2026-08-10T11:15:00+05:30,2026-08-18T10:00:00+05:30
pay_4c9d7d17,bkg_c3255c1a,upi,captured,8494.34,8494.34,0.00,THB,mock_c3255c1a,pidem_b43bbb7f85c52e65,,2026-05-07T01:15:40+05:30,2026-05-07T01:17:00+05:30,2026-05-07T01:15:00+05:30,2026-08-18T10:00:00+05:30
pay_d9966d90,bkg_4430bdeb,card,refunded,61475.67,61475.67,61475.67,INR,mock_4430bdeb,pidem_4e8a36cdaf91f796,,2026-06-21T07:00:40+05:30,2026-06-21T07:02:00+05:30,2026-06-21T07:00:00+05:30,2026-08-18T10:00:00+05:30
pay_7f79d6ce,bkg_822f073e,card,captured,4945.36,4945.36,0.00,INR,mock_822f073e,pidem_6d012bbf78f5ed53,,2026-08-03T18:00:40+05:30,2026-08-03T18:02:00+05:30,2026-08-03T18:00:00+05:30,2026-08-18T10:00:00+05:30
pay_092fb491,bkg_a43422ce,card,captured,10419.07,10419.07,0.00,INR,mock_a43422ce,pidem_9a6902b9c0c7b8d1,,2026-07-25T17:15:40+05:30,2026-07-25T17:17:00+05:30,2026-07-25T17:15:00+05:30,2026-08-18T10:00:00+05:30
pay_5594dbaa,bkg_e43d4db6,card,captured,4955.31,4955.31,0.00,INR,mock_e43d4db6,pidem_2a44e4c6ca7118d7,,2026-04-26T11:00:40+05:30,2026-04-26T11:02:00+05:30,2026-04-26T11:00:00+05:30,2026-08-18T10:00:00+05:30
pay_54bae9e0,bkg_b0e47d8d,upi,authorised,9211.24,0.00,0.00,INR,mock_b0e47d8d,pidem_2c0247d589ece91e,,2026-07-20T00:15:40+05:30,,2026-07-20T00:15:00+05:30,2026-08-18T10:00:00+05:30
pay_47d2c943,bkg_1aa0453c,card,captured,17932.45,17932.45,0.00,INR,mock_1aa0453c,pidem_29713372c81ed105,,2026-05-23T00:45:40+05:30,2026-05-23T00:47:00+05:30,2026-05-23T00:45:00+05:30,2026-08-18T10:00:00+05:30
pay_558091b6,bkg_0904c0f9,wallet,initiated,23165.77,0.00,0.00,INR,mock_0904c0f9,pidem_679b70e363edd012,,,,2026-06-07T11:15:00+05:30,2026-08-18T10:00:00+05:30
pay_1bbb229e,bkg_de021a6c,upi,initiated,12620.94,0.00,0.00,SGD,mock_de021a6c,pidem_7eb219687262bed6,,,,2026-06-10T08:00:00+05:30,2026-08-18T10:00:00+05:30
pay_e3e054ec,bkg_c0ba09a6,card,captured,47013.15,47013.15,0.00,INR,mock_c0ba09a6,pidem_7958873caf9fbdec,,2026-06-21T07:45:40+05:30,2026-06-21T07:47:00+05:30,2026-06-21T07:45:00+05:30,2026-08-18T10:00:00+05:30
pay_294a90d6,bkg_53e04170,netbanking,captured,13684.25,13684.25,0.00,INR,mock_53e04170,pidem_e9ec0da5614073f9,,2026-07-18T08:30:40+05:30,2026-07-18T08:32:00+05:30,2026-07-18T08:30:00+05:30,2026-08-18T10:00:00+05:30
pay_37a59ec0,bkg_6a3091ad,upi,captured,39033.97,39033.97,0.00,INR,mock_6a3091ad,pidem_2f67c9c20acc7916,,2026-08-05T21:00:40+05:30,2026-08-05T21:02:00+05:30,2026-08-05T21:00:00+05:30,2026-08-18T10:00:00+05:30
pay_1246cdc9,bkg_ac83cdcf,card,captured,164.75,164.75,0.00,SGD,mock_ac83cdcf,pidem_af651144fe8b4d92,,2026-07-31T23:00:40+05:30,2026-07-31T23:02:00+05:30,2026-07-31T23:00:00+05:30,2026-08-18T10:00:00+05:30
pay_be52d26d,bkg_63f2cba8,netbanking,captured,16257.54,16257.54,0.00,NPR,mock_63f2cba8,pidem_d81c9237d68112fd,,2026-06-12T06:15:40+05:30,2026-06-12T06:17:00+05:30,2026-06-12T06:15:00+05:30,2026-08-18T10:00:00+05:30
pay_b16d976a,bkg_14737abe,netbanking,captured,56123.11,56123.11,0.00,INR,mock_14737abe,pidem_df9b7459eab0a07d,,2026-08-02T19:00:40+05:30,2026-08-02T19:02:00+05:30,2026-08-02T19:00:00+05:30,2026-08-18T10:00:00+05:30
pay_ceb352cb,bkg_daa3681e,card,captured,55172.75,55172.75,0.00,INR,mock_daa3681e,pidem_7c3c179fcffa67bb,,2026-04-22T15:15:40+05:30,2026-04-22T15:17:00+05:30,2026-04-22T15:15:00+05:30,2026-08-18T10:00:00+05:30
pay_7e4fdb4d,bkg_43c55db6,upi,captured,4806.12,4806.12,0.00,QAR,mock_43c55db6,pidem_4fcc5cc27da8b7f0,,2026-05-24T06:45:40+05:30,2026-05-24T06:47:00+05:30,2026-05-24T06:45:00+05:30,2026-08-18T10:00:00+05:30
pay_64e6acb2,bkg_1cc9cf40,upi,captured,8503.14,8503.14,0.00,INR,mock_1cc9cf40,pidem_86b960ff2026699d,,2026-04-29T12:45:40+05:30,2026-04-29T12:47:00+05:30,2026-04-29T12:45:00+05:30,2026-08-18T10:00:00+05:30
pay_92f573d8,bkg_71ef6221,card,captured,17226.56,17226.56,0.00,MYR,mock_71ef6221,pidem_5826478dc1bfccea,,2026-07-13T02:00:40+05:30,2026-07-13T02:02:00+05:30,2026-07-13T02:00:00+05:30,2026-08-18T10:00:00+05:30
pay_7aa60dbb,bkg_0c57db7d,card,captured,43205.64,43205.64,0.00,INR,mock_0c57db7d,pidem_08bcec96ea8c207c,,2026-06-29T11:45:40+05:30,2026-06-29T11:47:00+05:30,2026-06-29T11:45:00+05:30,2026-08-18T10:00:00+05:30
pay_d0b809b4,bkg_77671ccb,mock,initiated,24513.61,0.00,0.00,INR,mock_77671ccb,pidem_0c2a2ead42c0ddef,,,,2026-08-03T19:00:00+05:30,2026-08-18T10:00:00+05:30
pay_19dd1e30,bkg_b42c0e25,card,captured,29332.86,29332.86,0.00,INR,mock_b42c0e25,pidem_eafc2c7ff2d7a7bc,,2026-05-20T02:45:40+05:30,2026-05-20T02:47:00+05:30,2026-05-20T02:45:00+05:30,2026-08-18T10:00:00+05:30
pay_76b3f5a0,bkg_bb4d218e,card,initiated,38284.87,0.00,0.00,THB,mock_bb4d218e,pidem_56817407c8c370c3,,,,2026-07-08T07:00:00+05:30,2026-08-18T10:00:00+05:30
pay_07da94f6,bkg_9f3522b1,upi,refunded,8656.97,8656.97,8656.97,INR,mock_9f3522b1,pidem_6a88caa99b411745,,2026-05-11T21:15:40+05:30,2026-05-11T21:17:00+05:30,2026-05-11T21:15:00+05:30,2026-08-18T10:00:00+05:30
pay_d27be49d,bkg_7aa89001,card,initiated,5346.81,0.00,0.00,AED,mock_7aa89001,pidem_4b946326f3b03073,,,,2026-07-09T20:15:00+05:30,2026-08-18T10:00:00+05:30
pay_13eb16cd,bkg_c8985dd7,mock,refunded,9888.68,9888.68,9888.68,INR,mock_c8985dd7,pidem_9ec44c071e8f95b9,,2026-05-26T07:45:40+05:30,2026-05-26T07:47:00+05:30,2026-05-26T07:45:00+05:30,2026-08-18T10:00:00+05:30
pay_55fbcea7,bkg_b35e9276,card,authorised,22797.40,0.00,0.00,IDR,mock_b35e9276,pidem_640ac27c80482c57,,2026-05-25T05:00:40+05:30,,2026-05-25T05:00:00+05:30,2026-08-18T10:00:00+05:30
pay_bec99d28,bkg_4ccbe790,card,captured,3011.87,3011.87,0.00,INR,mock_4ccbe790,pidem_fdf6d5b4ead0daa7,,2026-08-03T13:00:40+05:30,2026-08-03T13:02:00+05:30,2026-08-03T13:00:00+05:30,2026-08-18T10:00:00+05:30
pay_49f2b159,bkg_bc0f89d2,upi,captured,27077.85,27077.85,0.00,CHF,mock_bc0f89d2,pidem_ee72e42ad9918708,,2026-08-01T03:30:40+05:30,2026-08-01T03:32:00+05:30,2026-08-01T03:30:00+05:30,2026-08-18T10:00:00+05:30
pay_e482b620,bkg_cdc794e7,netbanking,captured,105296.64,105296.64,0.00,INR,mock_cdc794e7,pidem_e3b9e259169a7a2c,,2026-07-05T20:45:40+05:30,2026-07-05T20:47:00+05:30,2026-07-05T20:45:00+05:30,2026-08-18T10:00:00+05:30
pay_7efe68f0,bkg_ee4b7533,card,captured,67395.08,67395.08,0.00,INR,mock_ee4b7533,pidem_bc1c9f169fb264d2,,2026-07-10T21:30:40+05:30,2026-07-10T21:32:00+05:30,2026-07-10T21:30:00+05:30,2026-08-18T10:00:00+05:30
pay_4d1ead32,bkg_a148cb3d,netbanking,captured,11357.10,11357.10,0.00,INR,mock_a148cb3d,pidem_48fcc9d94ada7a68,,2026-07-20T11:45:40+05:30,2026-07-20T11:47:00+05:30,2026-07-20T11:45:00+05:30,2026-08-18T10:00:00+05:30
pay_0df4dbfd,bkg_6ce37e53,card,refunded,35187.08,35187.08,35187.08,INR,mock_6ce37e53,pidem_4880b46adafc6547,,2026-05-28T00:00:40+05:30,2026-05-28T00:02:00+05:30,2026-05-28T00:00:00+05:30,2026-08-18T10:00:00+05:30
pay_b84437e4,bkg_24af62b9,upi,captured,15590.10,15590.10,0.00,INR,mock_24af62b9,pidem_b5cd0dae228d68cd,,2026-06-26T18:30:40+05:30,2026-06-26T18:32:00+05:30,2026-06-26T18:30:00+05:30,2026-08-18T10:00:00+05:30
pay_a8ab4f7f,bkg_aa45da37,netbanking,captured,46112.17,46112.17,0.00,INR,mock_aa45da37,pidem_eb65e67f1c0f1567,,2026-06-15T11:15:40+05:30,2026-06-15T11:17:00+05:30,2026-06-15T11:15:00+05:30,2026-08-18T10:00:00+05:30
pay_5fe1cf60,bkg_be7a1bd2,upi,captured,30350.05,30350.05,0.00,INR,mock_be7a1bd2,pidem_7409e32029c8456a,,2026-07-26T23:45:40+05:30,2026-07-26T23:47:00+05:30,2026-07-26T23:45:00+05:30,2026-08-18T10:00:00+05:30
pay_6e8bd7e7,bkg_9340b70b,upi,captured,32459.48,32459.48,0.00,INR,mock_9340b70b,pidem_3fde7c66bcd738cb,,2026-05-29T22:30:40+05:30,2026-05-29T22:32:00+05:30,2026-05-29T22:30:00+05:30,2026-08-18T10:00:00+05:30
pay_3c958668,bkg_35183937,upi,captured,13010.35,13010.35,0.00,INR,mock_35183937,pidem_99d7f0bd407d102d,,2026-07-09T06:15:40+05:30,2026-07-09T06:17:00+05:30,2026-07-09T06:15:00+05:30,2026-08-18T10:00:00+05:30
pay_12bf86b1,bkg_4625af46,netbanking,refunded,59643.76,59643.76,59643.76,INR,mock_4625af46,pidem_a4a48ef787de576a,,2026-05-18T05:00:40+05:30,2026-05-18T05:02:00+05:30,2026-05-18T05:00:00+05:30,2026-08-18T10:00:00+05:30
pay_43fda085,bkg_1a4e740b,card,captured,18255.15,18255.15,0.00,NPR,mock_1a4e740b,pidem_732f938e83e75157,,2026-07-05T12:45:40+05:30,2026-07-05T12:47:00+05:30,2026-07-05T12:45:00+05:30,2026-08-18T10:00:00+05:30
pay_d5671031,bkg_f0d3ba98,card,refunded,30546.32,30546.32,30546.32,INR,mock_f0d3ba98,pidem_e3355370fa3b4850,,2026-05-15T05:00:40+05:30,2026-05-15T05:02:00+05:30,2026-05-15T05:00:00+05:30,2026-08-18T10:00:00+05:30
pay_0bb8a9b2,bkg_ea88de1b,upi,captured,7824.10,7824.10,0.00,INR,mock_ea88de1b,pidem_1887af1fb2e2fe4d,,2026-05-02T22:45:40+05:30,2026-05-02T22:47:00+05:30,2026-05-02T22:45:00+05:30,2026-08-18T10:00:00+05:30
pay_f17b0dae,bkg_2ff25f62,upi,initiated,41810.92,0.00,0.00,INR,mock_2ff25f62,pidem_6e610b17d538f6f7,,,,2026-07-12T19:00:00+05:30,2026-08-18T10:00:00+05:30
pay_593bbc03,bkg_00ead03d,netbanking,captured,31432.67,31432.67,0.00,INR,mock_00ead03d,pidem_45085c3d12ad5e02,,2026-07-06T07:45:40+05:30,2026-07-06T07:47:00+05:30,2026-07-06T07:45:00+05:30,2026-08-18T10:00:00+05:30
pay_66944ebe,bkg_c0de68da,mock,captured,7802.57,7802.57,0.00,INR,mock_c0de68da,pidem_0637ab1d70d9b877,,2026-06-19T16:30:40+05:30,2026-06-19T16:32:00+05:30,2026-06-19T16:30:00+05:30,2026-08-18T10:00:00+05:30
pay_19fdaedb,bkg_e2df0932,upi,captured,116056.26,116056.26,0.00,INR,mock_e2df0932,pidem_5323ee7e82fab270,,2026-06-21T18:30:40+05:30,2026-06-21T18:32:00+05:30,2026-06-21T18:30:00+05:30,2026-08-18T10:00:00+05:30
pay_71efe55c,bkg_4fd3d765,upi,refunded,5393.08,5393.08,5393.08,INR,mock_4fd3d765,pidem_79c4a23229070cff,,2026-05-22T14:00:40+05:30,2026-05-22T14:02:00+05:30,2026-05-22T14:00:00+05:30,2026-08-18T10:00:00+05:30
pay_13c49fd1,bkg_3e09782a,mock,refunded,3308.39,3308.39,3308.39,INR,mock_3e09782a,pidem_e00595f46fa6dc7f,,2026-08-15T18:45:40+05:30,2026-08-15T18:47:00+05:30,2026-08-15T18:45:00+05:30,2026-08-18T10:00:00+05:30
